Address,FirstDraw
101XX S BELL AVE,1.1
101XX S BELL AVE,3.3
101XX S BELL AVE,Customer declined further testing
101XX S BEVERLY AVE,3.8
101XX S BEVERLY AVE,< 1
101XX S BEVERLY AVE,5.1
101XX S CALHOUN AVE,1.9
101XX S CALIFORNIA AVE,1.8
101XX S CALIFORNIA AVE,1.5
101XX S CARPENTER ST,1.7
101XX S CARPENTER ST,1.8
101XX S CARPENTER ST,1.2
101XX S CARPENTER ST,1.7
101XX S CRANDON AVE,1.2
101XX S CRANDON AVE,5.8
101XX S DR MARTIN LUTHER KING JR DR,3.7
101XX S DR MARTIN LUTHER KING JR DR,4.7
101XX S DR MARTIN LUTHER KING JR DR,23
101XX S DR MARTIN LUTHER KING JR DR,23
101XX S DR MARTIN LUTHER KING JR DR,See Follow-Up Sequential Sampling Table for Results
101XX S Dr Martin Luther King Jr Dr,1.5
101XX S DR MARTIN LUTHER KING JR DR,0.8
101XX S DR MARTIN LUTHER KING JR DR,9.1
101XX S EBERHART,16
101XX S EBERHART,See Follow-Up Sequential Sampling Table for Results
101XX S EBERHART AVE,1.8
101XX S EBERHART AVE,16
101XX S EBERHART AVE,1.9
101XX S EMERALD AVE,1.5
101XX S EMERALD AVE,1.3
101XX S FAIRFIELD AVE,9.5
101XX S FAIRFIELD AVE,2.1
101XX S FOREST AVE,5.8
101XX S FOREST AVE,1.3
101XX S GREEN ST,3.6
101XX S GREEN ST,1.3
101XX S HOXIE AVE,1.8
101XX S HOXIE AVE,See Follow-Up Sequential Sampling Table for Results
101XX S HOXIE AVE,2.2
101XX S HOXIE AVE,2.2
101XX S HOYNE AVE,1.4
101XX S HOYNE AVE,2.6
101XX S HOYNE AVE,2.3
101XX S INDIANA AVE,1.9
101XX S INDIANA AVE,3.4
101XX S INDIANA AVE,3.8
101XX S INDIANA AVE,3.2
101XX S L,4
101XX S LA SALLE ST,<0.5
101XX S LA SALLE ST,130
101XX S LAFAYETTE AVE,4.1
101XX S LAFAYETTE AVE,3.4
101XX S LASALLE ST,130
101XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results
101XX S LEAVITT ST,< 1
101XX S LEAVITT ST,3.5
101XX S LEAVITT ST,4.8
101XX S LONGWOOD DR DR,6
101XX S LUELLA AVE,13
101XX S LUELLA AVE,5.8
101XX S MAPLEWOOD AVE,2.3
101XX S MAY ST,2.1
101XX S MORGAN ST,6.2
101XX S MORGAN ST,3.8
101XX S NORMAL AVE,1.7
101XX S NORMAL AVE,3.2
101XX S OAKLEY AVE,1.2
101XX S OGLESBY AVE,3.4
101XX S PAXTON AVE,4.5
101XX S PEORIA ST,4.5
101XX S PEORIA ST,5.1
101XX S PEORIA ST,5.1
101XX S PEORIA ST,See Follow-Up Sequential Sampling Table for Results
101XX S PERRY,4
101XX S PERRY,See Follow-Up Sequential Sampling Table for Results
101XX S PERRY AVE,4
101XX S PERRY AVE,2
101XX S PROSPECT AVE,3.4
101XX S PROSPECT AVE,7.2
101XX S RHODES AVE,4.6
101XX S RHODES AVE,2.7
101XX S RHODES AVE,5.6
101XX S RHODES AVE,3.4
101XX S SAINT LAWRENCE AVE,6.6
101XX S SANGAMON ST,4.5
101XX S SEELEY AVE,4.6
101XX S SEELEY AVE,3.6
101XX S SEELEY AVE,3.3
101XX S SEELEY AVE,< 1
101XX S SEELEY AVE,1.1
101XX S SEELEY AVE,3.6
101XX S SEELEY AVE,See Follow-Up Sequential Sampling Table for Results
101XX S SPRINGFIELD AVE,4.8
101XX S Springfield Ave,4.1
101XX S ST LAWRENCE AVE,16
101XX S ST LAWRENCE AVE,16
101XX S ST LAWRENCE AVE,See Follow-Up Sequential Sampling Table for Results
101XX S ST LAWRENCE AVE,3.6
101XX S STATE ST,0.6
101XX S TALMAN AVE,5.7
101XX S TALMAN AVE,23
101XX S TALMAN AVE,Customer declined further testing
101XX S UNION AVE,2.4
101XX S VERNON AVE,9.5
101XX S VERNON AVE,12
101XX S VERNON AVE,2.6
101XX S VERNON AVE,1.7
101XX S WALLACE ST,2.6
101XX S WASHTENAW AVE,1.6
101XX S WASHTENAW AVE,8.2
101XX S WASHTENAW AVE,5.1
101XX S WASHTENAW AVE,8.2
101XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results
101XX S WENTWORTH AVE,< 1
101XX S WENTWORTH AVE,0.9
101XX S WINSTON AVE,8.1
101XX S YALE AVE,1.2
101XX S YALE AVE,4.3
101XX S YALE AVE,8.3
101XX S YALE AVE,3.4
101XX S YATES AVE,4.2
101XX S YATES AVE,36
101XX S YATES AVE,6.5
101XX S YATES AVE,36.1
101XX S YATES AVE,See Follow-Up Sequential Sampling Table for Results
101XX S YATES AVE,6.5
101XX S YATES AVE,See Follow-Up Sequential Sampling Table for Results
101XX S YATES AVE,4.4
101XX S YATES AVE,8.3
102XX S ABERDEEN ST,4.7
102XX S ABERDEEN ST,0.7
102XX S ALBANY AVE,1.2
102XX S ALBANY AVE,2.6
102XX S ARTESIAN AVE,2.8
102XX S ARTESIAN AVE,5.8
102XX S ARTESIAN AVE,4.6
102XX S ARTESIAN AVE,6.1
102XX S ARTESIAN AVE,6.1
102XX S ARTESIAN AVE,See Follow-Up Sequential Sampling Table for Results
102XX S AVENUE L,3.5
102XX S AVENUE L,3.1
102XX S AVENUE L,2.8
102XX S BELL AVE,1.2
102XX S Bensley Ave,<1.0
102XX S BENSLEY AVE,<0.5
102XX S BEVERLY AVE,5.4
102XX S CALHOUN AVE,1.8
102XX S CALHOUN AVE,10
102XX S CALHOUN AVE,2.9
102XX S CALIFORNIA AVE,< 1
102XX S CALIFORNIA AVE,4.5
102XX S CALIFORNIA AVE,1.1
102XX S CALIFORNIA AVE,0.6
102XX S CALUMET AVE,2.3
102XX S CALUMET AVE,1.9
102XX S CARPENTER ST,5.1
102XX S CHARLES ST,4.4
102XX S CHARLES ST,See Follow-Up Sequential Sampling Table for Results
102XX S CHARLES ST,<1.0
102XX S CHARLES ST,5.2
102XX S COMMERCIAL AVE,<0.5
102XX S CRANDON AVE,2.6
102XX S DR MARTIN LUTHER KING JR DR,3.6
102XX S EBERHART AVE,1.4
102XX S EBERHART AVE,3.8
102XX S EBERHART AVE,< 1
102XX S EMERALD AVE,5.5
102XX S FOREST AVE,4.1
102XX S FOREST AVE,4.1
102XX S FOREST AVE,See Follow-Up Sequential Sampling Table for Results
102XX S GREEN ST,3.4
102XX S HOXIE AVE,2.6
102XX S HOYNE AVE,1.9
102XX S LA SALLE ST,1.9
102XX S La Salle St,140
102XX S LAFAYETTE AVE,4.9
102XX S LAFAYETTE AVE,1.3
102XX S LASALLE ST,140
102XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results
102XX S LEAVITT ST,2.6
102XX S LEAVITT ST,2.1
102XX S LEAVITT ST,4.8
102XX S LEAVITT ST,1.6
102XX S MAY ST,8.4
102XX S MAY ST,8.4
102XX S MAY ST,See Follow-Up Sequential Sampling Table for Results
102XX S MICHIGAN AVE,<1.0
102XX S MORGAN ST,1.1
102XX S MORGAN ST,1.7
102XX S MORGAN ST,1.4
102XX S MORGAN ST,1.1
102XX S MORGAN ST,<0.5
102XX S NORMAL AVE,< 1
102XX S NORMAL AVE,< 1
102XX S OAKLEY AVE,2.3
102XX S OAKLEY AVE,3.1
102XX S OAKLEY AVE,3.1
102XX S OAKLEY AVE,3
102XX S OGLESBY AVE,13
102XX S OGLESBY AVE,13
102XX S OGLESBY AVE,See Follow-Up Sequential Sampling Table for Results
102XX S PARNELL AVE,1.4
102XX S PRAIRIE AVE,5.3
102XX S PROSPECT AVE,2.7
102XX S PROSPECT AVE,2.9
102XX S RHODES AVE,3.5
102XX S RHODES AVE,2.3
102XX S SAINT LAWRENCE AVE,2.9
102XX S SEELEY AVE,3.1
102XX S SEELEY AVE,1.9
102XX S SPRINGFIELD AVE,3.8
102XX S SPRINGFIELD AVE,2.3
102XX S TORRENCE AVE,4.4
102XX S VAN VLISSINGEN RD,9.4
102XX S WALLACE ST,0.7
102XX S WASHTENAW AVE,1.9
102XX S WENTWORTH AVE,1.5
102XX S WENTWORTH AVE,2.2
102XX S WENTWORTH AVE,6.9
102XX S WHIPPLE ST,1.4
102XX S WHIPPLE ST,1.7
102XX S YALE AVE,2.5
102XX S YALE AVE,3.2
102XX S Yale Ave,2.9
102XX S YATES AVE,21
102XX S YATES AVE,Customer declined further testing
103XX S ALBANY AVE,1.6
103XX S ALBANY AVE,3.4
103XX S ALBANY AVE,2.1
103XX S ARTESIAN AVE,< 1
103XX S ARTESIAN AVE,3.3
103XX S ARTESIAN AVE,3
103XX S AVENUE G,2.2
103XX S AVENUE G,1.2
103XX S AVENUE H,1.4
